store_name,address,phone,manager_name,manager_email,store_type,description,latitude,longitude
Holland Group - Deliver Innovative Solutions,"Studio 7, Palmer valleys, Lake Carl, E4 1JD",+44115 496 0180,Neil Cook,gemma74@nicholls-moss.com,Online Collection Only,Quibusdam laboriosam aliquam tempora. Tenetur vitae illum numquam eveniet quaerat aperiam.,,
Parker Ltd - Expedite Robust Vortals,"399 Gregory square, South Valeriebury, N2 1HL",+44117 496 0061,Miss Deborah Morris,tony02@andrews.biz,Proctors local,Culpa tenetur magnam atque. Illo omnis voluptatum delectus aspernatur odio. Perferendis reprehenderit ut quam reiciendis.,,
"Ingram, Fitzgerald and Wall - Unleash One-To-One Experiences","Flat 55, Thomas divide, Karenside, G1A 8NW",0116 496 0111,Rita Macdonald,marc43@yahoo.com,Proctors local,Dolores numquam modi est. Quibusdam repellendus quo temporibus laboriosam dolore nesciunt iure.,,
Begum-Godfrey - Maximize Distributed E-Business,"Studio 50e, Tony summit, Normanmouth, HX9R 9JW",(0115) 496 0053,Dr Gavin Davies,kayleigh22@clark-rogers.com,Proctors local,Natus similique praesentium amet quae iste maiores eligendi. Dolorum eaque non sequi quis vel. Minima in ea placeat maiores.,,
"Barnett, Rees and Russell - Synergize Collaborative Paradigms","81 Colin stravenue, Lake Tracy, W2W 1JP",+44(0)1614960339,Dr Derek Jackson,patriciaandrews@hotmail.com,Proctors local,Voluptas odit suscipit dolore aliquid. Eum sit quod. Praesentium necessitatibus dolorum provident distinctio alias tempora.,,
"Jones, Moss and Patel - Implement Killer E-Markets","Studio 89a, Glen prairie, East Mathew, B4 3LU",+44(0)113 4960292,Charles Ryan,kempnorman@gmail.com,Superstore,Sit ut repellendus pariatur fugiat nesciunt. Dolorem adipisci dignissimos soluta amet eaque.,,
Holt-Todd - Whiteboard Revolutionary Communities,"406 Carol divide, Port Gregory, HU2 7LL",+44(0)1632 960596,Mitchell Vaughan,antonyharrison@shaw.com,Superstore,Quaerat recusandae tempore molestias voluptas. Nam nihil impedit ad quibusdam.,,
"Ellis, Stewart and Martin - Transition Out-Of-The-Box Applications","Studio 84, Justin oval, Georgefurt, W24 2YD",0131 4960398,Timothy Burgess,nicholsondeborah@gmail.com,Superstore,Necessitatibus sint iste cupiditate eaque. Fuga corporis inventore dicta. Labore quasi nesciunt consequuntur rerum accusantium.,,
"Smith, Coleman and Black - Repurpose Proactive Initiatives","Flat 3, Clive road, East Alison, G96 4HZ",+44(0)28 9018380,Victor Graham,lindsey20@murray.com,Proctors local,Quos amet debitis. Itaque ea eius maxime dolores molestias.,,
Perkins-Allan - Enhance Strategic Niches,"Flat 39z, Anthony turnpike, New Paul, OL4R 7LB",+44141 4960493,Marcus Turner,umurray@gmail.com,Superstore,Debitis mollitia optio eum aut.,,
"Marshall, Burke and Fowler - Maximize Mission-Critical Deliverables","014 Robinson wall, Frankstad, YO1 8DA",+448081570903,Norman Hussain,alison52@yahoo.com,Proctors local,"Quibusdam dolores fugiat quibusdam harum quis.
Similique veniam magni tempore. Magnam occaecati quam asperiores saepe soluta.",,
"Jackson, Pearson and Young - Redefine Back-End Models","4 Reed meadow, Christopherfurt, B9 9JA",+44(0)2074960854,Dr Dylan James,reesrebecca@byrne.com,Superstore,"Ipsum corporis eos quas. Quasi laborum cupiditate voluptatem.
Fuga dolor asperiores distinctio. Dicta in occaecati.",,
"Thomas, Booth and Dixon - Embrace Magnetic E-Tailers","520 Gareth spring, Lake Callumfurt, WC1 1DE",+4420 7496 0699,Mrs Olivia Bates,arnoldpaula@yahoo.co.uk,Online Collection Only,Officiis facilis aut quia error. Odit velit placeat voluptate similique earum eos accusantium. Odio temporibus quam sunt.,,
Lane Inc - Engage Innovative Initiatives,"Flat 6, Coleman mall, New Maurice, G0 5GQ",028 9018 0625,Kirsty Payne,kate24@gill.com,Proctors local,Suscipit mollitia officiis ea blanditiis nisi quia. Modi hic ut debitis modi.,,
"Lewis, Cunningham and Mills - E-Enable Rich Bandwidth","48 Jayne centers, Nicolaside, M19 1AL",+44(0)1214960069,Jane Smith,khall@hotmail.com,Superstore,"Illo vel impedit at a cum in nemo. Adipisci quaerat reiciendis maiores tenetur.
Magni molestiae possimus tempore. Ullam in deserunt cumque quo.",,
Bryant Group - Syndicate Open-Source Eyeballs,"8 Abbie place, Macdonaldbury, HU2 5NL",0113 496 0444,Jacob James,jakeford@gmail.com,Proctors local,Quam error laboriosam. Illo saepe rerum quo perferendis.,,
Cunningham-Fox - Synergize Real-Time Action-Items,"5 Toby drive, Jonesburgh, BS8X 9QH",0909 879 0281,Helen Harris,ashleydodd@yahoo.co.uk,Online Collection Only,Iure nemo voluptatem minus praesentium nostrum. Cumque fugiat eveniet voluptatum.,,
Bailey-Wilkinson - Utilize Granular E-Commerce,"Flat 9, Robinson vista, Gailside, S92 1WY",09098790442,Ms Jemma Davidson,hicksjames@james.co.uk,Superstore,Sit doloremque rem. Non officia laboriosam dicta at. Aspernatur eos aspernatur quibusdam vitae animi.,,
Savage-Carter - Harness Collaborative Convergence,"Flat 8, Vincent station, South Steven, CW1 1DZ",+44(0)289018098,Martin Jackson,wwebb@hotmail.com,Proctors local,Enim quisquam earum dolorem nihil. Accusantium dolorum nesciunt dignissimos. Rerum voluptas distinctio porro rerum quam.,,
Griffiths-Wright - Productize Robust Action-Items,"Flat 95, Naomi mountain, Port Luke, G5A 8QA",(0141) 4960034,Dr Sean Thompson,taylorrebecca@smith-brown.co.uk,Superstore,Aliquid fugit rerum voluptatibus. Excepturi accusamus facere fugit sapiente illo.,,
Owen and Sons - Architect Compelling Web Services,"78 Walker parkways, East Bryan, KA41 0EJ",(0117) 496 0265,Katy Cox,luke66@hotmail.com,Proctors local,Earum quos numquam ex. Ea maiores nam iste eius quos a quibusdam.,,
"Brown, Graham and Herbert - Brand Wireless Functionalities","5 Olivia junctions, Lauramouth, TQ7 1NX",(0161) 4960842,Terry Jordan,mparkes@gmail.com,Online Collection Only,"Dignissimos officia mollitia iure repellat hic.
Suscipit ipsam esse et accusamus quam voluptatum.",,
"Edwards, Middleton and Lambert - Synergize Strategic Synergies","608 Adams port, Joneston, CH7 6FP",+441632960522,Sally Clarke,kim55@hotmail.co.uk,Proctors local,Natus repellendus perspiciatis eaque ipsum velit aliquid. Excepturi rem nostrum nam.,,
Anderson-Ahmed - Transform Front-End Experiences,"Flat 8, Hannah bypass, Lewisshire, W93 7LH",+44117 4960864,Alison Robinson,nstewart@yahoo.com,Proctors local,Sit eos doloremque eveniet non quidem. Odio quae ipsum sequi corrupti. Occaecati corrupti iste.,,
"Miller, Griffiths and Clarke - Transition Impactful Paradigms","712 Dean mall, Port Glenn, TR6V 0WW",(0117) 496 0479,Ruth Porter,njohnson@yahoo.co.uk,Superstore,Consequatur voluptate iusto consectetur voluptas aspernatur quae molestiae. Quae necessitatibus eligendi.,,
Begum Group - Scale Frictionless Bandwidth,"Studio 8, Johnson mountain, North Joshuaton, DG2 5HN",+44306 9990580,Dennis Brooks,edwardsdean@yahoo.com,Proctors local,Corrupti aliquam ab at reprehenderit odit hic. Maiores cupiditate consectetur.,,
"Brooks, Edwards and Fletcher - Benchmark Front-End Markets","514 Derek valley, North Dorothyside, HA19 9LS",(0117)4960742,Mandy Heath-Burrows,georgina01@ali.com,Proctors local,Voluptates doloremque voluptatibus modi. Quis tenetur saepe debitis voluptates. Exercitationem delectus doloribus itaque.,,
